Name,Sex.sightings,Date.Sighting,Season,Body.Temp.C,Location,Catch.date,Catch.Sex,SVL,Weight.g.,Lat,Long,ConspecificDensity,NumOverlap50,kdarea,density50
Finn,Male,13/10/2020,11,17.6,Lake,18/02/2021,Male,NA,NA,-27.46245,153.01725,0.003527337,7,567,0.012345679
Flea,Male,13/10/2020,11,40.9,Lake,29/09/2020,Male,229,656,-27.46256667,153.01815,0.055172414,27,435,0.062068966
Flea,Male,13/10/2020,11,40.9,Lake,16/02/2021,Male,NA,NA,-27.46256667,153.01815,0.055172414,27,435,0.062068966
Grey,Female,11/02/2021,11,0,Spec,28/09/2020,Female,202,268,-27.46308333,153.01935,0.050531915,22,376,0.058510638
Grey,Female,11/02/2021,11,0,Spec,15/02/2021,Female,NA,NA,-27.46308333,153.01935,0.050531915,22,376,0.058510638
Hercules,Male,15/10/2020,11,39.8,Lake,1/10/2020,Male,247,740,-27.46226667,153.0174333,0.022413793,31,580,0.053448276
Hercules,Male,15/10/2020,11,39.8,Lake,19/02/2021,Male,NA,NA,-27.46226667,153.0174333,0.022413793,31,580,0.053448276
Juno,Female,21/06/2021,11,18,Spec,29/09/2020,Female,200,306,-27.46283333,153.0193667,0.047244094,25,508,0.049212598
Juno,Female,15/10/2020,11,41.7,Pground,29/09/2020,Female,200,306,-27.46241667,153.0194667,0.047244094,25,508,0.049212598
Juno,Female,21/06/2021,11,18,Spec,28/07/2021,Female,350,390,-27.46283333,153.0193667,0.047244094,25,508,0.049212598
Juno,Female,15/10/2020,11,41.7,Pground,28/07/2021,Female,350,390,-27.46241667,153.0194667,0.047244094,25,508,0.049212598
Juno,Female,21/06/2021,11,18,Spec,15/02/2021,Female,NA,NA,-27.46283333,153.0193667,0.047244094,25,508,0.049212598
Juno,Female,15/10/2020,11,41.7,Pground,15/02/2021,Female,NA,NA,-27.46241667,153.0194667,0.047244094,25,508,0.049212598
Lilo,Female,8/09/2020,11,18.3,Spec,8/10/2020,Female,177,255,-27.46285,153.01895,0.058451817,30,633,0.047393365
Logan,Male,17/09/2020,11,16.8,Spec,29/09/2020,Male,220,462,-27.46286667,153.0191,0.045945946,49,1110,0.044144144
Logan,Male,17/09/2020,11,16.8,Spec,15/02/2021,Male,NA,NA,-27.46286667,153.0191,0.045945946,49,1110,0.044144144
Lucario,Male,4/11/2020,11,0,Spec,1/10/2020,Male,256,714,-27.463,153.0190667,0.067391304,36,460,0.07826087
Lucario,Male,4/11/2020,11,0,Spec,15/02/2021,Male,NA,NA,-27.463,153.0190667,0.067391304,36,460,0.07826087
Magnolia,Male,15/10/2020,11,11.3,Rforest,1/10/2020,Male,232,674,-27.46225,153.0171167,0.028208745,21,709,0.029619182
Magnolia,Male,15/10/2020,11,11.3,Rforest,17/02/2021,Male,NA,NA,-27.46225,153.0171167,0.028208745,21,709,0.029619182
Mess,Female,13/10/2020,11,18,Lake,17/02/2021,Female,NA,NA,-27.4623,153.0174667,0.043478261,16,322,0.049689441
Mika,Male,4/12/2020,11,748,Rforest,17/02/2021,Male,NA,NA,-27.46246667,153.0168333,0.006134969,8,815,0.009815951
Minerva,Female,20/10/2020,11,39.8,Spec,8/10/2020,Female,192,305,-27.4628,153.0189667,0.077966102,25,295,0.084745763
Minerva,Female,20/10/2020,11,39.8,Spec,17/02/2021,Female,NA,NA,-27.4628,153.0189667,0.077966102,25,295,0.084745763
Mystery,Female,15/10/2020,11,15.9,Lake,1/10/2020,Female,200,326,-27.46216667,153.0175167,0.037681159,13,345,0.037681159
Mystery,Female,13/10/2020,11,18.1,Lake,1/10/2020,Female,200,326,-27.4622,153.0174333,0.037681159,13,345,0.037681159
Mystery,Female,15/10/2020,11,15.9,Lake,17/02/2021,Female,NA,NA,-27.46216667,153.0175167,0.037681159,13,345,0.037681159
Mystery,Female,13/10/2020,11,18.1,Lake,17/02/2021,Female,NA,NA,-27.4622,153.0174333,0.037681159,13,345,0.037681159
Nessy,Female,13/10/2020,11,14.2,Lake,NA,NA,NA,NA,-27.4623,153.0172667,0.007949126,12,629,0.019077901
Olaf,Male,12/02/2021,11,45.3,Rforest,17/02/2021,Male,189,310,-27.46221667,153.01705,0.011887073,11,672,0.016369048
Orange,Male,4/09/2020,11,17.7,Spec,15/02/2021,Male,NA,NA,-27.46276667,153.0188167,0.01951952,31,1332,0.023273273
Otis,Male,4/03/2021,11,999,Pground,29/09/2020,Male,196,346,-27.46238333,153.0193833,0.023622047,30,762,0.039370079
Otis,Male,4/03/2021,11,999,Pground,16/02/2021,Male,NA,NA,-27.46238333,153.0193833,0.023622047,30,762,0.039370079
Percy,Female,15/10/2020,11,40.7,Spec,15/02/2021,Female,NA,NA,-27.4627,153.0192167,0.030645161,34,620,0.05483871
Pesto,Male,15/10/2020,11,15.4,Rforest,6/10/2020,Male,241,544,-27.46225,153.0169,0.00761035,11,657,0.01674277
Pesto,Male,22/09/2020,11,0,Rforest,6/10/2020,Male,241,544,-27.46226667,153.0169,0.00761035,11,657,0.01674277
Pesto,Male,8/09/2020,11,15.6,Rforest,6/10/2020,Male,241,544,-27.46225,153.0168333,0.00761035,11,657,0.01674277
Pistache,Male,13/10/2020,11,0,Spec,28/09/2020,Male,259,760,-27.46271667,153.0188833,0.059907834,32,434,0.073732719
Pistache,Male,13/10/2020,11,0,Spec,28/07/2021,Male,272,892,-27.46271667,153.0188833,0.059907834,32,434,0.073732719
Pistache,Male,13/10/2020,11,0,Spec,15/02/2021,Male,NA,NA,-27.46271667,153.0188833,0.059907834,32,434,0.073732719
Pixie,Female,4/06/2021,11,771,Spec,5/10/2020,Female,187,286,-27.46285,153.0189,0.064676617,39,402,0.097014925
Pixie,Female,4/06/2021,11,771,Spec,16/02/2021,Female,NA,NA,-27.46285,153.0189,0.064676617,39,402,0.097014925
Reptincel,Female,13/10/2020,11,0,Spec,6/10/2020,Female,165,158,-27.46303333,153.0192667,0.056097561,28,410,0.068292683
Reptincel,Female,17/09/2020,11,0,Spec,6/10/2020,Female,165,158,-27.46305,153.0192833,0.056097561,28,410,0.068292683
Reptincel,Female,13/10/2020,11,0,Spec,17/02/2021,Female,NA,NA,-27.46303333,153.0192667,0.056097561,28,410,0.068292683
Reptincel,Female,17/09/2020,11,0,Spec,17/02/2021,Female,NA,NA,-27.46305,153.0192833,0.056097561,28,410,0.068292683
Sardine,Female,13/10/2020,11,18.2,Lake,7/10/2020,Female,187,283,-27.46226667,153.0174333,0.03880597,13,335,0.03880597
